Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Vivo,2017,Android 7.1; Funtouch 3.2,"5.5"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 425,3000mAh Li-Ion,"৳16,990.00"
Sony,2017,Android 7.1,"5.2"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 430,2620mAh Li-Ion,"৳17,900.00"
Micromax,2017,Android 6.0,"4.0"" 480x800 pixels",2MP 720p,512MB RAM Spreadtrum SC9832,1300mAh Li-Ion,"৳3,490.00"
Oppo,2017,Android 7.1.1,"6.0"" 1080x2160 pixels",16MP 1080p,6GB RAM MT6763T Helio P23,3200mAh Li-Ion,"৳30,990.00"
OnePlus,2017,Android 7.1.1,"6.01"" 1080x2160 pixels",16MP 2160p,8GB RAM Snapdragon 835,3300mAh Li-Po,"৳34,990.00"
Huawei,2017,"Android 7.0, up to Android 8.0; EMUI 5.1","5.9"" 1080x2160 pixels",16MP 1080p,4GB RAM HiSilicon Kirin 659,3340mAh Li-Ion,"৳36,990.00"
Oppo,2017,Android 7.1.1,"6.01"" 1080x2160 pixels",20MP 2160p,4GB RAM Snapdragon 660,3200mAh Li-Po,"৳41,990.00"
Oppo,2017,Android 7.1.1,"6.43"" 1080x2160 pixels",20MP 2160p,6GB RAM Snapdragon 660,4000mAh Li-Po,"৳56,300.00"
Huawei,2017,"Android 8.0, up to Android 9.0; EMUI 8","5.9"" 1440x2560 pixels",20MP 2160p,4GB RAM HiSilicon Kirin 970,4000mAh Li-Po,"৳68,000.00"
Nokia,2017,Android 7.1,"5.0"" 720 x 1280 pixels",8MP 720p,1GBvQualcomm MSM8909v2 Snapdragon 212,4100mAh Li-po,"৳7,499.00"
Huawei,2017,"Android 8.0, up to Android 9.0; EMUI 8","6.0"" 1080x2160 pixels",20MP 2160p,6GB RAM HiSilicon Kirin 970,4000mAh Li-Po,"৳78,000.00"
Xiaomi,2017,Android 7.0,"5.5"" 720x1280 pixels",13MP 1080p,2GB RAM Snapdragon 425,3080mAh Li-Ion,"৳8,700.00"
Google,2017,"Android 8.0, up to Android 9.0","6.0"" 1440x2880 pixels",12MP 2160p,4GB RAM Snapdragon 835,3520mAh Li-Ion,"৳18,000.00"
Sony,2017,"Android 7.0, up to Android 8.0","5.5"" 1080x1920 pixels",23MP 1080p,4GB RAM MT6757 Helio P20,3430mAh Li-Ion,"৳23,900.00"
Vivo,2017,"Android 7.1.1, up to 8.0; Funtouch 3.2","6.01"" 1080x2160 pixels",12MP 1080p,4GB RAM Snapdragon 660,3250mAh Li-Ion,"৳25,700.00"
Vivo,2017,"Android 7.1.1, up to 8.0; Funtouch 3.2","6.43"" 1080x2160 pixels",12MP 1080p,4GB RAM Snapdragon 660,3900mAh Li-Ion,"৳31,500.00"
Asus,2017,Android 7.1.1; ZenUI 4,"5.5"" 1080x1920 pixels",12MP 2160p,6GB RAM Snapdragon 630,3300mAh Li-Ion,"৳47,500.00"
Nokia,2017,"Android 7.1.1, 8.1","5.3"" 1440x2560 pixels",13MP 2160p,6GB RAM Snapdragon 835,3090mAh Li-Ion,"৳52,999.00"
Sony,2017,"Android 8.0, up to Android 9.0","4.6"" 720x1280 pixels",19MP 2160p,4GB RAM Snapdragon 835,2700mAh Li-Ion,"৳56,700.00"
Asus,2017,"Android 7.1.1, up to Android 8; ZenUI 4","5.5"" 1080x1920 pixels",16MP 2160p,6GB RAM Snapdragon 835,3600mAh Li-Ion,"৳56,900.00"
Apple,2017,"iOS 11.1.1, up to iOS 12.1.3","5.8"" 1125x2436 pixels",12MP 2160p,3GB RAM Apple A11 Bionic,2716mAh Li-Ion,"৳89,999.00"
Gionee,2017,Android 6.0; Amigo 3.2,"5.5"" 720x1280 pixels",13MP 1080p,3GB RAM MT6737T,3150mAh Li-Ion,"৳19,990.00"
Oppo,2017,Android 7.1,"5.2"" 720x1280 pixels",13MP 1080p,3GB RAM MT6750,3000mAh Li-Ion,"৳12,500.00"
Huawei,2017,Android 7.0; EMUI 5.1,"5.0"" 720x1280 pixels",13MP 1080p,2GB RAM Snapdragon 425,3020mAh Li-Ion,"৳14,990.00"
Vivo,2017,Android 7.0; Funtouch 3.2,"5.5"" 720x1280 pixels",13MP 1080p,3GB RAM MT6750,3000mAh Li-Ion,"৳19,290.00"
Xiaomi,2017,"Android 7.1.2, up to Android 9.0; Android One","5.5"" 1080x1920 pixels",12MP 2160p,4GB RAM Snapdragon 625,3080mAh Li-Po,"৳23,500.00"
Vivo,2017,Android 7.1.2; Funtouch 3.2,"5.99"" 720x1440 pixels",16MP 1080p,4GB RAM Snapdragon 450,3225mAh Li-Ion,"৳24,990.00"
Asus,2017,Android 7; ZenUI 3,"5.2"" 1080x1920 pixels",23MP 2160p,4GB RAM Snapdragon 820,3000mAh Li-Ion,"৳31,800.00"
Xiaomi,2017,Android 7.1,"5.5"" 1080x1920 pixels",12MP 2160p,6GB RAM Snapdragon 660,3500mAh Li-Ion,"৳34,300.00"
Xiaomi,2017,Android 7.1,"5.99"" 1080x2160 pixels",12MP 2160p,8GB RAM Snapdragon 835,3400mAh Li-Ion,"৳48,990.00"
Sony,2017,"Android 8.0, up to Android 9.0","5.2"" 1080x1920 pixels",19MP 2160p,4GB RAM Snapdragon 835,2700mAh Li-Ion,"৳56,900.00"
Micromax,2017,Android 7.0,"5.0"" 720x1280 pixels",5MP 720p,3GB RAM MT6737,2500mAh Li-Ion,"৳6,590.00"
Huawei,2017,Android 6.0; EMUI 4.1 Mini,"5.0"" 480x854 pixels",8MP 720p,1GB RAM MT6737М,2200mAh Li-Ion,"৳7,390.00"
Apple,2017,"iOS 11, up to iOS 12.1.3","4.7"" 750x1334 pixels",12MP 2160p,2GB RAM Apple A11 Bionic,1821mAh Li-Ion,"৳79,999.00"
Apple,2017,"iOS 11, up to iOS 12.1.3","5.5"" 1080x1920 pixels",12MP 2160p,3GB RAM Apple A11 Bionic,2691mAh Li-Ion,"৳84,000.00"
Micromax,2017,Android 6.0,5.0 inches 480 x 854 Pixels,5 MP 720p,1 GB RAM MediaTek MT6580M,2200 mAh Li-Po,"৳3,000.00"
Symphony,2017,Android 7.0 (Nougat),"5.2 inches, HD 1280 x 720 pixels",8 Megapixel,1 GB RAM,Li-ion 2500 mAh,"৳6,990.00"
Symphony,2017,Android 7.0,5.5 inches,13 MP,2 GB RAM,Lithium-ion 2800 mAh,"৳8,990.00"
Symphony,2017,Android 6.0,5.0 inches,8 MP,1 GB RAM,Li-ion 2300 mAh Battery,"৳6,790.00"
Symphony,2017,Android 6.0,4 inches,2 MP,512 MB RAM,Li-ion 1500 mAh,"৳3,190.00"
Symphony,2017,Android 7.0,"5.5"" IPS, Full-lamination",13 MP with front Flash,2 GB,Li-Po 3000 mAh Battery,"৳11,990.00"
